;#############################################################
;#                            VERBOS                         # 
BRINCATE      45       verb
BRINCARTE     45       verb
BRINCARSE     45       verb
ATACA         46       verb
ATACAR        46       verb
AGREDIR       46       verb
AGREDE        46       verb
MATAR         46       verb
MATA          46       verb
ASESINAR      46       verb
ASESINA       46       verb
ESTRANGULA    46       verb
PATEA         46       verb
PATEAR        46       verb
PISOTEA       46       verb
PISOTEAR      46       verb
TORTURA       46       verb
TORTURAR      46       verb
NOQUEA        46       verb
NOQUEAR       46       verb
LUCHAR        46       verb
ORINAR        47       verb
ORINA         47       verb
ORINATE       47       verb
ORINARSE      47       verb
ORINARTE      47       verb
MEAR          47       verb
MEA           47       verb
MEATE         47       verb
MEARSE        47       verb
MEARTE        47       verb
DEFECAR       47       verb
DEFECA        47       verb
DEFECATE      47       verb
DEFECARSE     47       verb
DEFECARTE     47       verb
CAGAR         47       verb
CAGA          47       verb
CAGATE        47       verb
CAGARTE       47       verb
CAGARSE       47       verb
ERUCTAR       47       verb
ERUCTA        47       verb
ERUCTATE      47       verb
ERUCTARTE     47       verb
ERUCTARSE     47       verb
VOMITAR       47       verb
VOMITA        47       verb
VOMITATE      47       verb
VOMITARTE     47       verb
VOMITARSE     47       verb
ESCUPIR       48       verb
ESCUPE        48       verb
AGITAR        49       verb
AGITA         49       verb
MENEAR        49       verb
MENEA         49       verb
SACUDIR       49       verb
SACUDE        49       verb
REMOVER       49       verb
REMUEVE       49       verb
BALANCEA      50       verb
BALANCEAR     50       verb
BALANCEARTE   50       verb
BALANCEARSE   50       verb
BALANCEATE    50       verb
COLUMPIARTE   50       verb
COLUMPIARSE   50       verb
COLUMPIATE    50       verb
EXCAVAR       51       verb
EXCAVA        51       verb
CAVAR         51       verb
CAVA          51       verb
DESENTERRAR   51       verb
DESENTIERRA   51       verb
ENTERRAR      51       verb
ENTIERRA      51       verb
CORTAR        52       verb
CORTA         52       verb
RASGAR        52       verb
RASGA         52       verb
LEVANTATE     53       verb
LEVANTARSE    53       verb
LEVANTARTE    53       verb
ATAR          54       verb
ATA           54       verb
ENLAZAR       54       verb
ENLAZA        54       verb
ANUDA         54       verb
ANUDAR        54       verb
LLENAR        55       verb
LLENA         55       verb
RELLENAR      55       verb
RELLENA       55       verb
NADAR         56       verb
NADA          56       verb
TREPAR        57       verb
TREPA         57       verb
ESCALAR       57       verb
ESCALA        57       verb
RETORCER      58       verb
RETUERCE      58       verb
TORCER        58       verb
TUERCE        58       verb
REZAR         59       verb
REZA          59       verb
ORAR          59       verb
ORA           59       verb
PENSAR        60       verb
PIENSA        60       verb
DORMIR        61       verb
DUERME        61       verb
DORMIRSE      61       verb
DORMIRTE      61       verb
DESCANSA      61       verb
DESCANSAR     61       verb
RONCAR        61       verb
RONCA         61       verb
ECHATE        61       verb
ECHARSE       61       verb
ECHARTE       61       verb
BESAR         62       verb
BESA          62       verb
CHUPAR        63       verb
CHUPA         63       verb
LAMER         63       verb
LAME          63       verb
PROBAR        63       verb
PRUEBA        63       verb
PALADEAR      63       verb
PALADEA       63       verb
SABOREAR      63       verb
SABOREA       63       verb
ABRIR         64       verb
ABRE          64       verb
OPEN          64       verb
CERRAR        65       verb
CIERRA        65       verb
CLOSE         65       verb
QUEMAR        66       verb
QUEMA         66       verb
ENCENDER      66       verb
ENCIENDE      66       verb
INCENDIAR     66       verb
INCENDIA      66       verb
PRENDE        66       verb
PRENDER       66       verb
APAGAR        67       verb
APAGA         67       verb
EXTINGUIR     67       verb
EXTINGUE      67       verb
SOFOCAR       67       verb
SOFOCA        67       verb
TRANSCRIP     68       verb
TRANSCRIPC    68       verb
TRANSCRIPT    68       verb
ROMPER        69       verb
ROMPE         69       verb
PARTIR        69       verb
PARTE         69       verb
QUEBRAR       69       verb
QUIEBRA       69       verb
DESTRUYE      69       verb
DESTRUIR      69       verb
VERSION       70       verb        
PONER         71       verb
PON           71       verb
PONTE         71       verb
PONSE         71       verb
PONERSE       71       verb
PONERTE       71       verb
VISTE         71       verb
VISTESE       71       verb
VESTIRSE      71       verb
VESTIRTE      71       verb 
VESTIR        71       verb
GOLPEAR       72       verb
GOLPEA        72       verb
DAR           73       verb
DA            73       verb
DASE          73       verb
DARSE         73       verb
DARTE         73       verb
DALE          73       verb
DARLE         73       verb
OFRECE        73       verb
OFRECESE      73       verb
OFRECER       73       verb
OFRECERSE     73       verb
REGALA        73       verb
REGALAR       73       verb
REGALARSE     73       verb
REGALASE      73       verb
METER         74       verb
METE          74       verb
INTRODUCE     74       verb
INTRODUCIR    74       verb
INSERTAR      74       verb
INSERTA       74       verb
ECHA          74       verb
ECHAR         74       verb
SACAR         75       verb
SACA          75       verb
EXTRAE        75       verb
EXTRAER       75       verb
LLAMA         76       verb
LLAMAR        76       verb
GRITA         77       verb
GRITAR        77       verb
CHILLA        77       verb
CHILLAR       77       verb
REGISTRA      78       verb
REGISTRAR     78       verb
REBUSCA       78       verb
REBUSCAR      78       verb
ARRANCAR      79       verb
ARRANCA       79       verb
ESTIRAR       79       verb
ESTIRA        79       verb
USAR          80       verb
USA           80       verb
UTILIZAR      80       verb
UTILIZA       80       verb
MATATE        81       verb
MATARTE       81       verb
MATARSE       81       verb
SUICIDATE     81       verb
SUICIDARTE    81       verb
SUICIDARSE    81       verb
XYZZY         82       verb
ARRASTRAR     83       verb
ARRASTRA      83       verb
REGISTRATE    84       verb
REGISTRARSE   84       verb
REGISTRARTE   84       verb
MIRATE        85       verb
MIRARSE       85       verb
MIRARTE       85       verb
EXAMINATE     85       verb
EXAMINARSE    85       verb
EXAMINARTE    85       verb    
VACIAR        86       verb
VACIA         86       verb
VERTER        86       verb
VERTIR        86       verb  ; Término erróneo pero ampliamente extendido
VIERTE        86       verb
DESPIERTA     87       verb
DESPERTAR     87       verb
DESPIERTATE   87       verb
DESPERTARSE   87       verb
DESPERTARTE   87       verb
ESPABILAR     87       verb
ESPABILATE    87       verb
ESPABILARTE   87       verb
ESPABILARSE   87       verb
LAVATE        88       verb
LAVARTE       88       verb
LAVARSE       88       verb
LIMPIATE      88       verb
LIMPIARTE     88       verb
LIMPIARSE     88       verb
INSULTAR      89       verb
INSULTA       89       verb
INCREPAR      89       verb
INCREPA       89       verb
IR            90       verb
VE            90       verb
VETE          90       verb
IRTE          90       verb
IRSE          90       verb
CAMINA        90       verb
CAMINAR       90       verb
ANDA          90       verb
ANDAR         90       verb
CORRE         90       verb
CORRER        90       verb
HUIR          90       verb
HUYE          90       verb
DIRIGETE      90       verb
DIRIGIRSE     90       verb
DIRIGIRTE     90       verb
ESCONDER      91       verb
OCULTAR       91       verb
ESCONDE       91       verb
OCULTA        91       verb
ESCONDERSE    92       verb
ESCONDERTE    92       verb
OCULTARSE     92       verb
OCULTARTE     92       verb
ESCONDETE     92       verb
OCULTATE      92       verb
LLORAR        93       verb
LLORA         93       verb
LLORIQUEAR    93       verb
LLORIQUEA     93       verb
SOLLOZAR      93       verb
SOLLOZA       93       verb
RECORDAR      94       verb
RECUERDA      94       verb
ACORDARSE     94       verb
ACORDARTE     94       verb
ACUERDATE     94       verb
SOPLA         95       verb
SOPLAR        95       verb
DOBLA         96       verb
DOBLAR        96       verb
DESDOBLAR     97       verb
DESDOBLA      97       verb
DESATAR       98       verb
DESATA        98       verb
UNIR          99       verb 
UNE           99       verb
JUNTAR        99       verb 
JUNTA         99       verb
ACERCAR       99       verb
ACERCA        99       verb
ARRIMAR       99       verb
ARRIMA        99       verb
APROXIMAR     99       verb
APROXIMA      99       verb
REUNE         99       verb
REUNIR        99       verb
SEPARA        100      verb
SEPARAR       100      verb
LIMPIAR       101      verb
LIMPIA        101      verb
FROTAR        101      verb
FROTA         101      verb
LAVAR         101      verb
LAVA          101      verb
PULE          101      verb
PULIR         101      verb
FREGAR        101      verb
FRIEGA        101      verb
RASCAR        102      verb
RASCA         102      verb
RASPAR        102      verb
RASPA         102      verb
CONECTA       103      verb
CONECTAR      103      verb
ACTIVA        103      verb
ACTIVAR       103      verb
DESCONECTA    104      verb
DESACTIVA     104      verb
DESACTIVAR    104      verb
ABRAZA        105      verb
ABRAZAR       105      verb
COMPRAR       106      verb
COMPRA        106      verb
COMPRARTE     106      verb
COMPRARSE     106      verb
COMPRASE      106      verb
COMPRATE      106      verb
ADQUIRIR      106      verb
ADQUIERE      106      verb
ADQUIERESE    106      verb
CONSULTAR     107      verb
CONSULTA      107      verb
PREGUNTAR     108      verb
PREGUNTA      108      verb
LEE           109      verb
LEER          109      verb
LEERSE        109      verb
LEERTE        109      verb
LEETE         109      verb
MOVER         110      verb
MUEVE         110      verb
DESPLAZAR     110      verb
DESPLAZA      110      verb
APRETAR       111      verb
APRIETA       111      verb
ESTRUJAR      111      verb
ESTRUJA       111      verb
BAILAR        112      verb
BAILA         112      verb
DANZAR        112      verb
DANZA         112      verb
SALUDAR       113      verb
SALUDA        113      verb
LEVANTAR      114      verb
LEVANTA       114      verb
